2012-13 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,     779,  19.1,"      1,426",  51.1,  48.9,   3.2,  11.5,  63.2
Abington,00010000,     952,  23.1,"      2,042",  48.6,  51.4,   2.1,  13.3,  22.8
Academy Of the Pacific Rim Charter Public (District),04120000,     127,  22.8,        493,  52.5,  47.5,   0.0,  24.1,  55.2
Acton,00020000,     776,  22.9,"      2,555",  47.2,  52.8,   5.3,  17.5,   4.5
Acton-Boxborough,06000000,"   1,186",  21.0,"      2,919",  49.8,  50.2,   0.8,  14.6,   4.0
Acushnet,00030000,     339,  16.8,"      1,003",  47.9,  52.1,   0.6,  17.1,  25.1
Adams-Cheshire,06030000,     858,  16.1,"      1,480",  47.8,  52.2,   0.1,  21.0,  45.5
Advanced Math and Science Academy Charter (District),04300000,     477,  19.4,        969,  47.7,  52.3,   0.0,   3.3,   6.5
Agawam,00050000,"   2,382",  17.2,"      4,156",  49.2,  50.8,   3.1,  15.2,  29.6
Alma del Mar Charter School (District),04090000,      57,  19.9,        161,  55.3,  44.7,  11.2,  21.7,  78.9
Amesbury,00070000,"   1,136",  19.3,"      2,351",  46.9,  53.1,   0.9,  18.6,  24.5
Amesbury Academy Charter Public (District),04150000,      44,  14.3,         51,  49.0,  51.0,   0.0,  51.0,  62.7
Amherst,00080000,     354,  20.0,"      1,226",  49.2,  50.8,  12.1,  20.1,  40.0
Amherst-Pelham,06050000,"   1,399",  13.5,"      1,557",  47.5,  52.5,   3.9,  19.8,  27.7
Andover,00090000,"   2,668",  19.4,"      6,275",  49.5,  50.5,   1.7,  16.4,   6.3
Arlington,00100000,"   1,671",  18.6,"      4,907",  50.5,  49.5,   4.8,  13.1,  11.5
Ashburnham-Westminster,06100000,"   1,314",  18.9,"      2,284",  48.7,  51.3,   1.5,  17.1,  21.4
Ashland,00140000,"   1,055",  18.0,"      2,595",  50.0,  50.0,   2.7,  14.3,  11.1
Assabet Valley Regional Vocational Technical,08010000,     630,  15.1,"      1,010",  42.6,  57.4,   1.1,  30.3,  33.4
Athol-Royalston,06150000,     710,  17.3,"      1,479",  47.0,  53.0,   1.1,  26.6,  59.1
Atlantis Charter (District),04910000,     292,  21.9,        753,  54.6,  45.4,   1.1,  12.6,  60.6
Attleboro,00160000,"   2,863",  20.1,"      5,947",  47.8,  52.2,   6.8,  17.6,  36.5
Auburn,00170000,"   1,150",  18.5,"      2,382",  49.4,  50.6,   3.0,  11.2,  26.7
Avon,00180000,     329,  16.9,        770,  49.0,  51.0,   1.0,  17.8,  27.4
Ayer Shirley School District,06160000,     933,  17.0,"      1,684",  47.4,  52.6,   2.5,  20.8,  36.0
Barnstable,00200000,"   1,994",  17.4,"      4,935",  50.0,  50.0,   6.1,  13.5,  36.3
Barnstable Community Horace Mann Charter Public (District),04270000,      80,  17.8,        284,  52.5,  47.5,  14.1,   8.5,  43.3
Bedford,00230000,"   1,221",  15.3,"      2,521",  48.6,  51.4,   3.6,  13.4,  13.1
Belchertown,00240000,"   1,206",  17.2,"      2,511",  49.0,  51.0,   0.9,  14.0,  21.3
Bellingham,00250000,     853,  19.1,"      2,481",  48.2,  51.8,   1.5,  16.3,  20.7
Belmont,00260000,"   1,366",  21.1,"      4,088",  50.6,  49.4,   2.8,   8.1,   7.5
Benjamin Banneker Charter Public (District),04200000,      74,  19.4,        351,  55.8,  44.2,   5.7,  11.7,  83.8
Benjamin Franklin Classical Charter Public (District),04470000,     185,  22.7,        446,  52.5,  47.5,   0.2,   8.5,   2.0
Berkley,00270000,     331,  19.0,        882,  49.0,  51.0,   0.1,  16.1,  14.3
Berkshire Arts and Technology Charter Public (District),04140000,     138,  16.5,        313,  53.0,  47.0,   0.3,  19.2,  55.9
Berkshire Hills,06180000,     864,  15.6,"      1,365",  47.5,  52.5,   1.8,  14.7,  26.0
Berlin,00280000,      54,  16.2,        228,  40.4,  59.6,   0.9,  27.2,   9.6
Berlin-Boylston,06200000,     210,  16.5,        433,  52.9,  47.1,   0.7,  14.5,  11.3
Beverly,00300000,"   1,632",  20.0,"      4,355",  48.8,  51.2,   1.9,  17.4,  27.2
Billerica,00310000,"   1,821",  18.6,"      5,506",  48.8,  51.2,   1.0,  17.2,  17.6
Blackstone Valley Regional Vocational Technical,08050000,     694,  19.1,"      1,156",  48.7,  51.3,   0.6,   9.3,  17.2
Blackstone-Millville,06220000,     893,  18.7,"      1,893",  50.1,  49.9,   1.0,  15.0,  25.1
Blue Hills Regional Vocational Technical,08060000,     346,  16.8,        796,  43.1,  56.9,   0.8,  22.0,  35.1
Boston,00350000,"  20,216",  17.7,"     54,572",  48.2,  51.8,  29.1,  19.4,  76.4
Boston Collegiate Charter (District),04490000,     247,  20.7,        620,  52.6,  47.4,   4.8,  18.1,  43.7
Boston Day and Evening Academy Charter (District),04240000,     341,  14.2,        427,  56.2,  43.8,   1.9,  17.8, 100.0
Boston Green Academy Horace Mann Charter School (District),04110000,     222,  16.3,        316,  43.7,  56.3,  11.1,  29.4,  78.2
Boston Preparatory Charter Public (District),04160000,      82,  23.0,        359,  52.9,  47.1,   7.5,  18.9,  74.7
Boston Renaissance Charter Public (District),04810000,     235,  20.7,        938,  52.7,  47.3,   6.3,  10.3,  79.3
Bourne,00360000,     985,  17.5,"      2,133",  48.4,  51.6,   0.5,  15.3,  28.2
Boxborough,00370000,     180,  19.1,        444,  44.4,  55.6,   1.8,  14.2,   3.8
Boxford,00380000,     326,  16.8,        783,  50.6,  49.4,   0.5,  17.1,   2.6
Boylston,00390000,      85,  17.5,        387,  52.7,  47.3,   1.6,  15.2,  10.9
Braintree,00400000,"   2,863",  17.5,"      5,610",  48.5,  51.5,   2.5,  20.4,  19.3
Brewster,00410000,     289,  18.5,        474,  49.4,  50.6,   1.7,  19.4,  25.5
Bridge Boston Charter School (District),04170000,       7,  30.9,        108,  54.6,  45.4,  18.5,  16.7,  86.1
Bridgewater-Raynham,06250000,"   1,803",  21.4,"      5,470",  47.9,  52.1,   1.4,  14.1,  18.0
Brimfield,00430000,     107,  17.1,        327,  52.3,  47.7,   0.0,  13.5,  14.7
Bristol County Agricultural,09100000,     289,  18.0,        445,  71.5,  28.5,   0.0,   9.2,  25.2
Bristol-Plymouth Regional Vocational Technical,08100000,     938,  18.0,"      1,259",  44.2,  55.8,   0.6,  14.6,  33.5
Brockton,00440000,"   8,016",  19.5,"     16,925",  48.7,  51.3,  20.9,  13.9,  78.4
Brookfield,00450000,      84,  18.6,        312,  46.8,  53.2,   0.0,  12.8,  29.8
Brookline,00460000,"   2,979",  17.1,"      7,122",  49.7,  50.3,   8.2,  16.8,  11.8
Burlington,00480000,"   1,845",  18.7,"      3,641",  48.4,  51.6,   2.7,  11.1,  11.3
Cambridge,00490000,"   3,498",  14.3,"      6,196",  49.7,  50.3,   6.0,  19.2,  46.7
Canton,00500000,"   1,430",  19.9,"      3,289",  49.7,  50.3,   1.5,  12.8,  14.0
Cape Cod Lighthouse Charter (District),04320000,      77,  32.5,        227,  48.9,  51.1,   0.0,  14.5,  13.7
Cape Cod Regional Vocational Technical,08150000,     436,  13.6,        647,  39.3,  60.7,   1.1,  21.5,  42.7
Carlisle,00510000,     220,  19.4,        643,  48.4,  51.6,   1.6,  14.2,   1.4
Carver,00520000,     803,  19.4,"      1,741",  49.1,  50.9,   0.1,  16.7,  22.9
Central Berkshire,06350000,"   1,039",  15.8,"      1,781",  49.1,  50.9,   0.4,  14.4,  31.7
Chelmsford,00560000,"   2,595",  18.7,"      5,133",  49.0,  51.0,   1.9,  15.2,   9.4
Chelsea,00570000,"   1,260",  20.4,"      6,042",  48.2,  51.8,  19.4,  11.8,  86.3
Chesterfield-Goshen,06320000,      45,  14.4,        173,  48.6,  51.4,   0.0,  13.9,  17.3
Chicopee,00610000,"   2,840",  17.4,"      7,850",  47.6,  52.4,   3.8,  18.3,  64.3
Christa McAuliffe Regional Charter Public (District),04180000,     151,  18.1,        305,  44.9,  55.1,   1.6,  24.9,  18.4
City On A Hill Charter Public (District),04370000,      98,  13.1,        262,  56.5,  43.5,   5.7,  23.7,  83.6
Clarksburg,00630000,      61,  19.3,        171,  50.9,  49.1,   0.0,  25.7,  36.8
Clinton,00640000,     751,  19.2,"      1,988",  46.6,  53.4,   7.7,  20.2,  49.1
Codman Academy Charter Public (District),04380000,      56,  23.4,        144,  54.2,  45.8,   1.4,  22.2,  74.3
Cohasset,00650000,     830,  20.4,"      1,605",  48.5,  51.5,   0.1,  11.8,   2.7
Community Charter School of Cambridge (District),04360000,     260,  18.2,        368,  52.7,  47.3,   4.3,  19.8,  63.0
Community Day Charter Public School - Gateway (District),04260000,      36,  20.0,        120,  42.5,  57.5,  77.5,  11.7,  85.8
Community Day Charter Public School - Prospect (District),04400000,     100,  20.8,        330,  50.6,  49.4,  29.7,  11.5,  74.5
Community Day Charter Public School - R. Kingman Webster (District),04310000,      36,  20.0,        120,  50.8,  49.2,  60.0,   5.8,  78.3
Concord,00670000,     865,  17.6,"      2,178",  50.7,  49.3,   2.5,  16.5,   5.6
Concord-Carlisle,06400000,     575,  18.1,"      1,224",  52.2,  47.8,   0.7,  15.1,   4.8
Conservatory Lab Charter (District),04390000,       8,  22.0,        176,  47.2,  52.8,  23.3,  10.8,  62.5
Conway,00680000,      39,  18.1,        184,  41.8,  58.2,   0.5,  17.4,  15.2
Danvers,00710000,"   1,739",  19.1,"      3,657",  49.3,  50.7,   1.0,  16.2,  19.1
Dartmouth,00720000,"   1,725",  19.3,"      3,802",  48.3,  51.7,   2.6,  12.4,  23.4
Dedham,00730000,"   1,156",  16.9,"      2,867",  47.6,  52.4,   3.9,  20.0,  25.8
Deerfield,00740000,     153,  15.5,        453,  47.5,  52.5,   2.4,  19.2,  16.6
Dennis-Yarmouth,06450000,"   1,383",  15.6,"      3,120",  48.4,  51.6,   7.0,  16.6,  48.9
Dighton-Rehoboth,06500000,"   1,348",  18.8,"      3,052",  47.3,  52.7,   0.2,  13.2,  14.6
Dorchester Collegiate Academy Charter (District),04750000,      42,  16.1,        129,  47.3,  52.7,   0.0,  18.6,  66.7
Douglas,00770000,     683,  19.6,"      1,671",  49.4,  50.6,   0.1,  15.7,  16.5
Dover,00780000,     186,  19.5,        525,  45.7,  54.3,   3.8,  12.8,   2.7
Dover-Sherborn,06550000,     761,  15.3,"      1,174",  50.4,  49.6,   0.5,  12.0,   3.7
Dracut,00790000,"   1,540",  22.7,"      3,928",  48.3,  51.7,   1.2,  12.9,  21.7
Dudley Street Neighborhood Charter School (District),04070000,      18,  21.8,        131,  57.3,  42.7,  26.0,  12.2,  83.2
Dudley-Charlton Reg,06580000,"   1,582",  20.6,"      4,090",  50.0,  50.0,   2.0,  11.9,  20.1
Duxbury,00820000,"   1,434",  20.7,"      3,253",  48.3,  51.7,   0.2,  12.9,   4.2
East Bridgewater,00830000,     700,  24.1,"      2,280",  50.7,  49.3,   0.8,  15.4,  16.9
East Longmeadow,00870000,     977,  19.0,"      2,751",  50.0,  50.0,   1.1,  16.1,  16.1
Eastham,00850000,     155,  15.7,        204,  55.9,  44.1,   0.5,  17.2,  29.9
Easthampton,00860000,     571,  19.7,"      1,633",  51.8,  48.2,   2.1,  16.2,  37.0
Easton,00880000,"   1,695",  20.4,"      3,927",  49.5,  50.5,   1.1,  16.3,  10.8
Edgartown,00890000,     243,  17.1,        354,  48.0,  52.0,   9.0,  23.2,  24.3
Edward Brooke Charter (District),04280000,     162,  18.2,        484,  54.1,  45.9,   0.4,   7.0,  82.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520000,     115,  16.7,        266,  68.0,  32.0,   9.8,  13.2,  70.3
Edward W. Brooke Charter School 2 (District),04430000,      73,  17.3,        262,  47.7,  52.3,   8.0,  10.3,  76.3
Edward W. Brooke Charter School 3 (District),04570000,      41,  16.3,        183,  49.7,  50.3,  13.1,   7.1,  78.7
Erving,00910000,      47,  20.9,        158,  55.7,  44.3,   0.0,  24.7,  36.7
Essex Agricultural Technical,09130000,     334,  16.5,        470,  64.0,  36.0,   0.0,  11.9,  20.2
Everett,00930000,"   3,023",  20.7,"      6,697",  47.9,  52.1,  12.6,  13.2,  79.1
Excel Academy Charter (District),04100000,      66,  26.6,        215,  45.1,  54.9,   7.4,  18.6,  77.7
Excel Academy Charter School - Boston II (District),04590000,      18,  28.0,         56,  50.0,  50.0,   7.1,  10.7,  87.5
Excel Academy Charter School - Chelsea (District),04610000,      32,  27.9,        111,  52.3,  47.7,   5.4,  15.3,  87.4
Fairhaven,00940000,"   1,016",  17.8,"      2,023",  47.8,  52.2,   1.1,  12.1,  31.9
Fall River,00950000,"   4,100",  19.1,"     10,244",  47.9,  52.1,   7.3,  21.8,  78.4
Falmouth,00960000,"   1,555",  17.2,"      3,546",  47.8,  52.2,   1.1,  18.5,  26.5
Farmington River Reg,06620000,      78,  17.0,        149,  53.0,  47.0,   0.0,  23.5,  40.9
Fitchburg,00970000,"   2,406",  18.1,"      5,209",  49.4,  50.6,  13.2,  21.4,  74.1
Florida,00980000,      56,  12.2,        104,  54.8,  45.2,   0.0,  19.2,  47.1
Four Rivers Charter Public (District),04130000,     327,  13.8,        218,  44.5,  55.5,   0.9,  17.9,  22.0
Foxborough,00990000,"   1,367",  16.7,"      2,787",  48.6,  51.4,   0.5,  16.6,  14.7
Foxborough Regional Charter (District),04460000,     437,  23.8,"      1,209",  53.9,  46.1,   5.9,  10.2,  16.3
Framingham,01000000,"   4,440",  17.2,"      8,323",  48.8,  51.2,  13.8,  23.3,  45.0
Francis W. Parker Charter Essential (District),04780000,     277,  17.4,        392,  46.4,  53.6,   0.0,  19.9,   2.3
Franklin,01010000,"   2,445",  20.5,"      5,937",  48.9,  51.1,   1.0,  15.7,   9.6
Franklin County Regional Vocational Technical,08180000,     407,  11.2,        513,  37.8,  62.2,   0.0,  27.1,  51.7
Freetown-Lakeville,06650000,"   1,122",  20.8,"      3,057",  49.1,  50.9,   0.1,  15.0,  14.9
Frontier,06700000,     485,  12.6,        622,  50.0,  50.0,   0.6,  17.5,  19.9
Gardner,01030000,     908,  18.2,"      2,552",  46.1,  53.9,   4.7,  19.8,  54.6
Gateway,06720000,     434,  15.7,"      1,029",  50.6,  49.4,   0.6,  14.5,  32.3
Georgetown,01050000,     630,  18.8,"      1,562",  47.6,  52.4,   0.3,  14.1,   7.9
Gill-Montague,06740000,     614,  14.3,"      1,045",  48.7,  51.3,   4.7,  18.9,  53.0
Global Learning Charter Public  (District),04960000,     292,  15.9,        482,  54.4,  45.6,   1.2,  15.1,  71.6
Gloucester,01070000,"   1,056",  18.9,"      3,167",  48.7,  51.3,   2.6,  22.8,  39.5
Gosnold,01090000,       4,   2.0,          2,  50.0,  50.0,   0.0,   0.0,   0.0
Grafton,01100000,"   1,434",  20.0,"      2,997",  49.2,  50.8,   0.6,  14.9,  11.5
Granby,01110000,     518,  14.2,        996,  48.1,  51.9,   2.5,  15.5,  22.9
Greater Fall River Regional Vocational Technical,08210000,     793,  14.5,"      1,386",  43.9,  56.1,   0.5,  10.0,  48.3
Greater Lawrence Regional Vocational Technical,08230000,"   1,212",  13.3,"      1,294",  46.8,  53.2,   2.0,  22.3,  78.1
Greater Lowell Regional Vocational Technical,08280000,"   1,312",  15.1,"      2,072",  48.6,  51.4,   6.3,  23.1,  60.9
Greater New Bedford Regional Vocational Technical,08250000,"   1,309",  15.0,"      2,112",  52.0,  48.0,   1.3,   9.3,  51.8
Greenfield,01140000,     708,  16.1,"      2,108",  49.2,  50.8,   2.3,  16.2,  57.7
Groton-Dunstable,06730000,"   1,015",  18.7,"      2,686",  48.5,  51.5,   0.4,  13.4,   4.8
Hadley,01170000,     347,  16.5,        663,  51.0,  49.0,   3.2,  11.2,  17.6
Halifax,01180000,     242,  19.9,        583,  48.9,  51.1,   0.2,  13.2,  15.4
Hamilton-Wenham,06750000,     712,  19.7,"      1,973",  53.0,  47.0,   1.1,  12.8,   7.0
Hampden Charter School of Science (District),04990000,     199,  17.5,        348,  50.0,  50.0,   2.9,  12.1,  68.4
Hampden-Wilbraham,06800000,"   1,355",  19.3,"      3,455",  49.9,  50.1,   0.5,  14.6,  13.7
Hampshire,06830000,     415,  14.3,        756,  53.4,  46.6,   0.1,  16.1,  12.6
Hancock,01210000,      38,   5.0,         45,  53.3,  46.7,   0.0,   2.2,   0.0
Hanover,01220000,"   1,188",  19.8,"      2,657",  47.8,  52.2,   0.6,  17.0,   7.8
Harvard,01250000,     445,  18.0,"      1,227",  48.9,  51.1,   0.8,  13.1,   3.1
Hatfield,01270000,     248,  14.2,        447,  48.5,  51.5,   0.0,  15.7,  13.4
Haverhill,01280000,"   3,617",  17.6,"      7,121",  46.4,  53.6,   6.9,  21.0,  53.3
Hawlemont,06850000,      23,  16.6,        101,  51.5,  48.5,   0.0,  28.7,  47.5
Hill View Montessori Charter Public (District),04550000,      65,  22.1,        310,  59.7,  40.3,   0.3,  21.0,  19.7
Hilltown Cooperative Charter  Public (District),04500000,      38,  23.4,        172,  50.0,  50.0,   0.6,  14.0,  20.9
Hingham,01310000,"   1,721",  19.3,"      4,216",  48.5,  51.5,   0.1,  13.0,   4.5
Holbrook,01330000,     312,  16.7,"      1,224",  49.0,  51.0,   4.2,  17.4,  41.6
Holland,01350000,      65,  17.8,        229,  48.9,  51.1,   0.0,  16.2,  28.4
Holliston,01360000,"   1,418",  16.6,"      2,841",  50.1,  49.9,   2.0,  16.6,   5.0
Holyoke,01370000,"   3,194",  16.1,"      5,837",  47.1,  52.9,  26.3,  25.1,  84.5
Holyoke Community Charter (District),04530000,     206,  25.7,        703,  54.6,  45.4,   6.5,  14.2,  83.9
Hopedale,01380000,     532,  18.4,"      1,285",  49.1,  50.9,   1.2,  17.4,  10.7
Hopkinton,01390000,"   1,868",  18.9,"      3,458",  50.6,  49.4,   1.3,  13.5,   2.4
Hudson,01410000,"   1,422",  17.6,"      2,976",  50.2,  49.8,   5.4,  16.9,  23.3
Hull,01420000,     590,  15.7,"      1,094",  46.1,  53.9,   0.1,  16.0,  37.6
Innovation Academy Charter (District),04350000,     370,  19.9,        664,  45.6,  54.4,   1.2,  21.5,  12.3
Ipswich,01440000,     825,  17.9,"      2,048",  50.8,  49.2,   1.4,  12.6,  12.5
KIPP Academy Boston Charter School (District),04630000,      21,  24.0,         73,  39.7,  60.3,  16.4,  20.5,  91.8
KIPP Academy Lynn Charter (District),04290000,     158,  24.1,        585,  51.8,  48.2,   7.5,  13.7,  83.6
King Philip,06900000,     807,  21.8,"      2,161",  49.5,  50.5,   0.3,  11.0,   7.9
Kingston,01450000,     370,  23.8,"      1,130",  49.7,  50.3,   0.6,  13.4,  15.5
Lanesborough,01480000,      93,  18.0,        228,  49.1,  50.9,   0.4,  24.1,  23.2
Lawrence,01490000,"   5,349",  17.7,"     13,310",  47.8,  52.2,  25.5,  20.9,  89.8
Lawrence Family Development Charter (District),04540000,     358,  18.0,        632,  55.7,  44.3,  19.1,   5.4,  92.1
Lee,01500000,     357,  13.2,        681,  52.6,  47.4,   2.8,  10.9,  35.2
Leicester,01510000,     743,  18.9,"      1,726",  49.2,  50.8,   0.9,  15.3,  34.2
Lenox,01520000,     430,  13.2,        777,  49.8,  50.2,   1.8,   9.5,  18.1
Leominster,01530000,"   2,842",  17.1,"      6,261",  47.8,  52.2,   6.2,  18.6,  46.4
Leverett,01540000,      63,  15.4,        144,  45.8,  54.2,   0.0,  21.5,  26.4
Lexington,01550000,"   2,643",  19.6,"      6,608",  49.1,  50.9,   5.4,  13.5,   7.3
Lincoln,01570000,     577,  15.7,"      1,238",  51.0,  49.0,   2.4,  15.3,  14.8
Lincoln-Sudbury,06950000,"   1,190",  19.9,"      1,590",  50.3,  49.7,   0.6,  17.0,   4.9
Littleton,01580000,     431,  23.6,"      1,608",  52.2,  47.8,   0.6,  20.4,   8.8
Longmeadow,01590000,"   1,225",  19.4,"      2,876",  47.7,  52.3,   0.9,  17.2,   5.8
Lowell,01600000,"   7,823",  18.9,"     14,122",  48.0,  52.0,  31.3,  15.1,  73.0
Lowell Community Charter Public (District),04560000,     196,  23.7,        630,  52.7,  47.3,  51.7,  19.2,  83.8
Lowell Middlesex Academy Charter (District),04580000,     176,  12.0,        131,  55.7,  44.3,   2.3,  24.4,  77.1
Ludlow,01610000,"   1,315",  16.7,"      2,849",  49.8,  50.2,   1.6,  15.1,  29.6
Lunenburg,01620000,     711,  19.5,"      1,590",  47.7,  52.3,   1.1,  17.5,  16.5
